MW,HD,HA,RB,EM,MM,TPSA,HAC,Complexity,CBC,Gap,PT,PCE0,aPCE,bPCE,,
196.23,3,3,2,196.0306,196.0306,107,13,212,1,1.62,2,12.26,7.27,2,,
77.08,2,3,0,77.0477,77.0477,63.3,5,12.3,2,1.53,2,21.61,1.72,1,,
91.1,2,3,0,91.0633,91.0633,63.3,6,33,2,1.53,2,21.61,0.6,0,,
105.14,2,3,1,105.079,105.079,63.3,7,42.2,2,1.53,2,21.61,-1.02,0,,
95.57,2,1,1,95.0502,95.0502,26,5,7.2,2,1.7,3,14.43,5.74,2,,
163.67,2,2,2,163.0222,163.0222,54.3,9,65.5,2,1.65,3,18.99,1.06,1,,
163.67,2,2,2,163.0222,163.0222,54.3,9,65.5,2,1.77,3,16.22,0.87,0,,
341.96,4,2,0,341.909,341.909,24.1,8,26.5,3,1.55,1,21.06,2.41,2,,
249.09,2,1,2,249.0015,249.0015,26,10,65,2,1.77,3,13.8,0.6,0,,
267.08,2,2,2,266.992,266.992,26,11,87.3,2,1.77,3,13.8,2.3,2,,
189.18,1,4,2,189.0765,189.0765,26,13,147,1,1.77,3,13.8,4.1,2,,
215.05,2,2,1,213.9742,213.9742,69.1,11,163,1,1.71,3,18.46,1.92,1,,
215.64,4,3,2,215.0462,215.0462,102,14,215,2,1.55,1,22.8,2,1,,
249.09,2,1,2,249.0015,249.0015,26,10,65,2,1.33,3,17.07,3.6,2,,
315.92,4,2,1,315.8933,315.8933,52,6,6,3,1.33,3,17.07,2.51,2,,
160.17,2,4,4,160.0848,160.0848,69.6,11,156,1,1.61,1,19.04,2.26,2,,
160.17,2,4,4,160.0848,160.0848,69.6,11,156,1,1.61,2,21.3,0.85,0,,
248.02,1,2,1,247.9334,247.9334,37.3,10,128,1,1.55,1,19.5,1.2,1,,
319.98,1,6,1,319.8957,319.8957,37.3,14,224,1,1.55,1,19.5,2.52,2,,
74.13,2,2,2,74.0844,74.0844,52,5,12.4,1,1.78,3,17.2,3,2,,
181.23,2,3,2,181.1103,181.1103,63.3,13,96,2,1.55,1,20.96,2.11,2,,
257.33,2,3,3,257.1416,257.1416,63.3,19,195,2,1.55,1,20.96,0.87,0,,
147.22,2,3,3,147.1259,147.1259,63.3,10,50.9,2,1.55,1,20.96,2.72,2,,
238.07,0,1,1,237.9967,237.9967,8.8,9,72.9,2,1.54,3,21,1,1,,
236.05,0,1,1,235.9811,235.9811,8.8,9,90.5,2,1.54,3,21,2,1,,
235.98105,0,1,2,300.0124,300.0124,8.8,14,152,2,1.54,3,21,3.09,2,,
255.12,2,2,2,254.9579,254.9579,54.3,9,65.5,2,1.63,3,19.97,1.95,1,,
60.08,3,0,0,60.0562,60.0562,77.6,4,18.8,1,1.65,2,10.59,6.91,2,,
108.14,1,2,1,108.0687,108.0687,38.9,8,63.5,1,1.54,3,23.39,2.1,2,,
198.09,2,7,1,198.0216,198.0216,38,13,164,1,1.51,3,18.1,4.19,2,,
198.09,2,7,1,198.0216,198.0216,38,13,164,1,1.72,3,16.73,2.19,2,,
104.11,3,3,0,104.0586,104.0586,87.2,7,41.3,2,1.64,2,15.62,2.79,2,,
375.93,0,1,1,374.8655,374.8655,0,13,95.8,2,1.56,1,21.6,0.2,0,,
375.93,0,1,1,374.8655,374.8655,0,13,95.8,2,1.59,1,20.8,0.6,0,,
375.93,0,1,1,374.8655,374.8655,0,13,95.8,2,1.63,1,20.6,1,1,,
375.93,0,1,1,374.8655,374.8655,0,13,95.8,2,1.65,1,19.3,1.9,1,,
375.93,0,1,1,374.8655,374.8655,0,13,95.8,2,1.69,1,18.5,2.2,2,,
343.98,4,2,3,343.9246,343.9246,52,8,17.5,3,1.54,2,20.8,2.3,2,,
243.2,0,6,0,242.8947,242.8947,41.7,12,69.3,4,1.61,1,20.12,2.69,2,,
152.15,3,4,2,152.0586,152.0586,75.4,11,149,1,1.62,2,21.56,1.93,1,,
239.7,2,4,3,239.0183,239.0183,68.5,14,239,2,1.63,2,19.53,2.23,2,,
239.7,2,4,3,239.0183,239.0183,68.5,14,239,2,1.68,2,17.85,2.26,2,,
173,2,1,0,172.9701,172.9701,12,4,2.8,2,1.61,3,18.3,2.4,2,,
212.6,3,5,1,212.0328,212.0328,38,13,138,2,1.61,3,18.3,1.6,1,,
192.62,1,3,1,191.9648,191.9648,62.8,11,211,1,1.6,1,18.2,2.5,2,,
